PotLabel,Flat,Pos,Trt,11/25/2024,11/27/2024,11/29/2024,12/2/2024,12/4/2024,12/6/2024,12/9/2024,12/11/2024,12/13/2024,12/16/2024,12/18/2024,12/20/2024,12/23/2024,12/25/2024,12/27/2024,12/30/2024,1/1/2025,1/3/2025,1/6/2025,1/8/2025,1/10/2025,1/13/2025,1/15/2024,1/17/2025,1/20/2025,1/22/2025,1/24/2025,1/27/2025,1/29/2025,1/31/2025,2/3/2025,2/5/2025,2/7/2025,2/10/2025,2/24/2025,2/28/2025,Notes6
101-3-C,1,9,Cur,2.079,2.254,5.017,5.326,6.972,9.106,11.466,13.238,14.512,19.373,24.66,22.918,23.257,26.601,29.245,37.12,39.402,43.911,46.591,48.457,49.002,56.097,57.237,57.531,62.979,63.525,65.625,71.777,,,,,,,,,
943-3-C,1,19,Cur,1.434,1.841,2.594,2.906,3.487,4.461,5.49,6.061,6.215,7.475,8.278,7.978,7.69,8.757,8.707,11.013,11.259,12.623,12.91,12.786,13.182,17.176,18.429,19.575,29.85,30.308,33.069,36.412,36.497,39.347,47.283,,,,,,
947-18-C,1,28,Cur,1.252,1.829,2.684,3.057,3.585,4.635,5.623,5.883,6.194,7.315,7.888,8.399,8.042,9.291,9.269,10.779,11.213,11.794,12.443,12.896,13.48,15.533,17.91,19.571,25.275,26.754,28.933,32.739,32.873,36.274,42.572,44.722,45.272,45.39,,,
905-3-C,2,32,Cur,1.317,1.707,2.428,2.454,2.932,3.958,4.81,4.999,5.239,6.745,7.227,7.771,7.267,8.737,8.976,10.619,11.079,10.963,11.49,11.282,12.479,16.138,17.764,19.001,24.842,28.249,31.588,33.804,35.34,35.566,45.906,47.138,,,,,
942-3-C,3,14,Cur,1.561,2.275,2.974,3.08,3.645,4.964,6.103,6.757,6.777,8.308,9.314,9.169,8.985,9.808,10.385,11.729,13.305,13.956,14.521,14.177,14.629,18.249,20.571,20.948,28.404,31.023,32.735,35.075,36.56,36.896,42.56,44.993,45.443,45.413,,,
113-3-C,3,24,Cur,1.265,1.982,2.708,2.475,3.521,4.699,6.349,7.169,7.984,11.267,13.196,13.25,13.028,14.71,16.86,18.449,21.001,22.725,24.284,26.298,28.25,32.712,35.574,36.913,49.461,54.638,55.54,,,,,,,,,,
103-3-C,6,10,Cur,0.318,0.373,0.375,0.45,0.757,1.058,1.303,1.39,1.79,2.549,2.862,3.044,3.518,4.119,4.581,5.463,6.419,6.649,8.255,9.001,9.244,14.697,17.899,18.303,29.154,31.788,,,,,,,,,,,
108-3-C,6,18,Cur,1.124,1.316,1.394,2.662,2.19,2.736,4.39,5.893,6.675,8.845,10.901,12.014,12.246,14.567,14.996,19.562,21.042,22.456,25.388,26.873,28.669,35.815,38.548,47.534,61.769,63.734,64.694,,,,,,,,,,
937-3-C,7,17,Cur,0.906,1.212,1.561,2.019,2.499,3.144,4.09,4.448,4.858,5.67,6.081,6.078,6.224,6.69,7.435,8.434,9.357,10.098,10.695,10.873,11.949,14.863,18.954,20.01,24.305,27.821,29.19,30.549,33.854,34.973,42.011,46.446,,,,,
913-3-C,7,28,Cur,1.342,1.819,2.594,2.89,3.509,4.399,5.466,6.046,6.545,8.408,8.675,8.844,8.474,9.288,10.575,11.482,12.958,13.789,14.799,14.908,16.419,19.733,22.088,25.036,30.941,34.606,36.527,41.581,41.634,41.748,47.301,,,,,,
111-3-C,8,13,Cur,0.038,0.051,0.063,0.067,0.07,0.069,0.099,0.101,0.134,0.254,0.276,0.276,0.35,0.405,0.454,0.611,0.767,0.84,1.044,1.083,1.368,2.06,2.652,3.303,5.69,7.068,8.949,12.213,13.601,16.262,25.09,25.282,,,,,
104-3-C,9,24,Cur,1.135,1.599,2.035,2.01,3.054,3.979,5.146,5.785,6.696,9.127,9.998,11.456,12.602,14.727,16.209,19.837,21.552,24.523,26.635,27.202,29.666,37.209,41.191,42.886,53.264,,,,,,,,,,,,
926-3-C,10,12,Cur,1.01,1.348,1.827,2.265,2.487,3.198,4.101,4.526,5.003,6.049,6.107,6.467,6.586,7.147,8.25,9.434,10.618,11.411,12.521,12.789,13.702,17.663,19.417,21.185,24.607,29.33,30.561,33.156,37.07,39.918,48.75,48.88,,,,,
114-3-C,11,24,Cur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
933-3-C,11,30,Cur,0.972,1.298,1.737,2.155,2.281,2.965,3.904,4.316,4.775,6.07,6.221,6.506,6.996,7.792,8.311,9.373,10.408,11.463,12.776,13.083,13.944,17.153,19.442,21.846,28.546,31.696,32.384,35.405,35.49,35.593,42.473,44.461,47.655,,,,
903-3-C,12,18,Cur,1.07,1.359,1.982,2.375,2.462,3.13,4.13,4.519,5.171,6.563,6.881,7.399,7.729,8.665,9.464,10.768,11.825,12.714,13.967,14.435,15.956,19.254,20.887,21.588,29.257,32.033,32.511,36.118,37.762,40.776,43.947,48.085,50.416,,,,
115-3-C,13,6,Cur,0.84,1.108,1.65,2.182,2.558,3.482,4.77,5.401,6.426,7.869,8.46,9.825,11.337,12.538,15.254,17.114,19.944,21.447,25.72,26.09,30.32,33.127,36.302,38.278,46.156,51.46,54.664,,,,,,,,,,
107-3-C,13,25,Cur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
902-3-C,13,30,Cur,1.065,1.343,1.916,2.446,2.612,3.318,4.453,4.634,5.422,6.357,6.512,6.939,7.682,8.577,8.97,10.51,11.178,11.903,12.727,12.733,14.515,17.718,20.371,21.568,26.873,31.292,32.777,34.272,37.11,39.278,41.084,45.263,,,,,
921-3-C,14,1,Cur,0.912,1.093,1.608,2.124,2.208,2.669,3.455,3.789,4.558,5.6,5.5,6.356,6.798,7.551,7.942,9.19,9.867,10.509,11.043,11.049,12.29,14.328,15.646,16.293,22.766,24.508,27.129,27.171,31.024,32.726,41.163,42.482,48.161,,,,
105-3-C,14,2,Cur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
102-3-C,14,9,Cur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
112-20-C,15,2,Cur,1.127,1.387,2.169,3.096,3.267,4.037,5.898,6.552,8.626,11.089,11.197,13.226,15.317,16.833,18.814,21.616,24.573,27.311,30.086,30.652,34.006,39.597,43.753,44.045,54.663,58.048,58.976,59.39,60.286,60.393,67.281,68.299,,,,,
910-3-C,15,7,Cur,1.309,1.594,2.468,3.145,3.162,3.692,5.356,5.516,6.879,8.057,7.548,9.132,9.929,10.695,10.875,11.986,13.093,14.084,15.006,15.573,18.478,20.465,23.105,24.714,31.31,35.234,36.3,46.102,46.215,46.477,49.31,55.241,57.21,60.137,,,
105-3-F,2,23,Fut,1.053,1.62,2.465,3.76,4.132,4.77,6.257,7.037,7.397,10.654,11.162,13.813,15.333,18.802,19.414,19.645,21.975,23.984,26.835,27.735,27.864,33.706,36.44,35.018,41.001,41.018,41.128,41.345,41.566,41.425,,,,,,,
107-3-F,3,25,Fut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
115-3-F,4,23,Fut,2.113,2.928,4.253,6.129,7.338,8.492,9.853,11.373,11.374,13.416,14.788,19.84,22.476,26.428,27.184,28.658,29.584,30.834,33.282,34.263,32.469,35.664,35.48,35.879,39.919,38.808,38.756,38.113,,,,,,,,,
937-3-F,4,27,Fut,2.394,3.306,4.704,5.557,6.373,7.887,10.002,11.24,11.252,12.78,13.868,16.167,16.05,16.162,17.592,18.552,20.129,21.163,23.342,23.648,23.45,25.191,23.784,25.355,26,20.06,26.4,26.656,26.842,26.759,30.086,31.728,,,,,
112-20-F,4,29,Fut,3.179,4.212,5.687,6.975,8.068,9.826,11.717,14.069,14.101,18.194,18.915,22.05,22.362,26.037,27.353,28.938,28.609,29.929,30.865,32.619,32.937,34.712,35.732,35.021,42.05,40.677,38.559,34.336,34.602,34.657,40.776,42.234,,,,,
947-18-F,5,6,Fut,2.331,3.136,4.681,5.643,6.69,7.682,8.794,10.042,10.042,12.174,13.532,15.482,16.704,17.91,18.66,19.718,21.766,22.027,22.732,24.032,23.369,26.9,26.824,27.152,29.287,29.254,29.107,29.069,29.088,29.126,32.573,33.464,33.641,33.789,,,
926-3-F,5,18,Fut,3.477,4.012,5.42,5.825,7.099,8.269,9.806,11.449,11.834,14.597,15.405,17.834,17.781,19.14,19.862,21.391,22.636,23.221,25.71,26.239,24.952,25.829,24.273,26.014,29.037,29.1,29.154,28.961,27.768,27.802,27.548,28.214,,,,,
913-3-F,5,21,Fut,3.505,4.346,5.735,6.804,8.438,9.274,10.665,13.074,13.087,14.968,16.108,18.537,18.519,19.636,20.616,20.957,23.075,23.332,25.642,26.184,25.125,27.97,28.431,28.011,31.236,31.345,31.241,31.207,32.223,32.305,32.55,34.479,,,,,
113-3-F,5,26,Fut,4.636,6.32,8.707,9.401,10.52,14.476,18.39,21.728,21.923,24.612,26.247,29.665,32.398,35.479,36.321,39.118,40.297,41.781,42.751,42.982,41.55,45.129,45.693,46.454,49.985,49.837,50.61,,,,,,,,,,
921-3-F,5,31,Fut,3.456,4.933,7.094,8.653,10.947,12.678,14.739,16.034,16.065,18.071,17.598,19.001,22.875,24.289,24.69,27.861,29.12,29.056,30.143,31.22,30.058,29.888,28.995,30.14,33.099,33.146,33.076,33.064,33.173,,,,,,,,
910-3-F,6,11,Fut,2.552,3.699,5.291,6.416,6.92,8.01,9.56,10.967,11.466,13.973,14.897,17.044,17.784,19.037,19.499,20.285,22.445,23.057,23.33,22.542,22.232,25.04,24.316,25.745,25.833,25.894,25.987,26.001,26.686,26.305,27.258,27.264,27.265,27.27,,,
104-3-F,6,12,Fut,4.405,5.856,8.138,9.906,12.064,13.318,16.68,18.592,19.668,22.721,23.959,24.946,28.938,29.669,30.108,31.422,32.754,32.665,34.443,34.451,32.886,32.284,34.044,32.297,,,,,,,,,,,,,
943-3-F,6,14,Fut,1.891,2.585,3.694,4.563,5.226,6.1,6.743,8.324,8.945,11.123,11.672,12.64,13.969,14.906,15.286,16.902,17.448,17.5,18.062,19.043,19.582,21.283,20.909,22.567,22.953,22.847,23.16,23.646,23.312,21.582,21.369,,,,,,
933-3-F,7,21,Fut,2.334,2.926,4.234,5.568,6.465,7.206,8.712,10.113,10.745,12.984,13.349,15.519,16.847,18.302,18.134,19.087,21.5,21.289,22.043,21.788,21.868,23.972,23.589,23.897,23.815,24.762,24.37,23.825,23.822,23.184,23.908,24.237,24.622,25.398,,,
108-3-F,8,20,Fut,3.758,5.038,7.35,10.434,12.428,15.213,18.635,21.375,23.192,27.468,27.362,30.773,34.194,35.812,35.992,39.602,42.625,41.667,43.884,42.908,42.122,44.496,45.041,45.324,46.644,44.06,43.04,41.717,41.918,,,,,,,,
101-3-F,8,27,Fut,4.666,6.27,8.662,12.347,14.798,17.259,21.644,24.371,26.447,30.893,32.258,35.051,38.595,37.871,38.751,40.415,46.971,44.311,46.52,46.736,45.639,47.516,47.342,47.22,47.412,47.427,47.552,,,,,,,,,,
903-3-F,9,18,Fut,2.609,4.046,5.452,6.89,7.989,9.395,10.682,12.2,13.382,15.744,15.944,17.336,19.292,20.501,19.734,22.52,25.627,24.107,26.73,27.752,28.896,30.716,30.987,31.231,32.344,32.18,32.24,31.436,31.621,31.686,31.878,33.096,,,,,
114-3-F,9,29,Fut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
102-3-F,10,7,Fut,0.702,0.954,1.531,2.114,2.656,3.446,4.406,5.553,7.066,8.652,9.363,10.511,12.798,14.265,15.812,20.478,24.668,24.993,27.789,31.619,32.451,36.19,36.543,36.644,41.353,40.099,?,39.959,,,,,,,,,
902-3-F,10,16,Fut,4.872,6.439,8.469,9.854,11.654,13.752,15.609,wrong plant,18.656,21.011,20.628,22.017,24.779,25.02,25.276,27.584,31.67,29.404,31.047,31.403,30.435,33.93,33.954,33.958,34.154,33.361,33.566,33.555,33.432,32.945,32.794,34.439,,,,,
103-3-F,12,7,Fut,3.59,5.55,8.21,10.906,12.735,14.291,16.234,18.747,21.239,25,24.594,25.802,29.688,30.126,28.364,32.141,36.018,33.317,38.374,39.303,40.8,41.04,41.56,41.697,42.282,41.242,,,,,,,,,,,
111-3-F,13,7,Fut,0.509,0.8,1.359,1.905,2.57,Wrong Plant,3.922,4.96,5.877,7.873,7.932,9.59,12.316,12.787,13.546,16.958,21.625,21.747,24.822,27.785,30.877,35.252,36.257,42.783,46.755,46.259,46.384,46.005,46.462,46.135,,,,,,,
905-3-F,14,15,Fut,4.055,5.027,6.183,7.54,8.505,9.584,10.879,13.117,15.168,17.922,17.673,18.68,21.318,20.697,20.689,22.906,26.079,26.191,24.777,26.534,27.057,29.002,29.342,29.54,31.926,31.435,31.695,31.617,31.78,31.586,31.123,33.641,,,,,
942-3-F,15,31,Fut,2.495,3.427,4.054,5.005,5.531,6.914,8.179,9.21,10.779,13.409,13.23,14.048,16.131,15.954,16.199,18.235,21.497,21.382,21.434,21.391,21.563,23.007,23.289,23.477,24.106,23.762,23.64,23.539,23.684,23.483,22.937,22.891,22.459,22.212,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scale 61.0737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do the Monday photos first!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Then the Friday photos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
