PotLabel,Flat,Pos,Trt,11/11/2024,11/15/2024,11/18/2024,11/22/2024,11/25/2024,11/29/2024,Notes1,12/2/2024,12/6/2024,12/9/2024,12/13/2024,12/16/2024,12/20/2024,Notes2,12/23/2024,12/27/2024,12/30/2024,1/3/2025,1/6/2025,1/10/2025,Notes3,1/13/2025,1/17/2025,1/20/2024,1/24/2025,1/27/2025,1/31/2025,Notes4,2/3/2025,2/7/2025,2/10/2025,2/14/2025,2/17/2025,2/21/2025,Notes5,2/24/2025,2/28/2025,Notes6
101-3-C,1,9,Cur,2,4,6,7,8,9,,11,11,13,18,21,23,,Skipped due to break ,Skipped due to break,29,32,34,35,,38,40,44,48,53,Removed ,,Removed,Removed,Removed,,,,,,,
943-3-C,1,19,Cur,2,4,5,6,8,8,,10,10,12,16,19,21,,Skipped due to break ,Skipped due to break,26,28,30,33,,36,36,38,42,44,49,,49,Removed,Removed,,,,,,,
947-18-C,1,28,Cur,2,4,5,6,7,9,,9,10,12,15,17,19,,Skipped due to break ,Skipped due to break,24,26,27,30,,31,36,37,39,40,48,,50,52,54,,,,,,,
905-3-C,2,32,Cur,2,4,4,6,7,8,,10,10,13,14,16,18,,Skipped due to break ,Skipped due to break,24,26,29,30,,32,34,37,40,42,48,,50,Removed,Removed,,,,,,,
942-3-C,3,14,Cur,2,4,4,6,8,8,,10,10,12,14,19,20,,Skipped due to break ,Skipped due to break,26,28,28,36,,36,36,38,42,43,47,,47,49,51,,,,,,,
113-3-C,3,24,Cur,,,,,8,9,,10,11,13,16,18,19,,Skipped due to break ,Skipped due to break,24,26,30,32,,33,35,36,42,Removed,Removed,,Removed,Removed,Removed,,,,,,,
103-3-C,6,10,Cur,2,2,4,5,6,7,,7,7,10,12,14,14,,Skipped due to break ,Skipped due to break,17,18,19,23,,24,26,28,Removed,Removed,Removed,,removed,Removed,Removed,,,,,,,
108-3-C,6,18,Cur,2,4,4,6,7,8,,9,9,12,15,18,18,,Skipped due to break ,Skipped due to break,24,26,26,31,,31,33,38,44,50,Removed,,Removed,Removed,Removed,,,,,,,
937-3-C,7,17,Cur,2,4,4,6,7,8,,9,9,12,13,15,18,,Skipped due to break ,Skipped due to break,22,24,25,27,,28,30,33,35,40,46,,47,Removed,Removed,,,,,,,
913-3-C,7,28,Cur,2,4,4,6,7,8,,9,9,12,14,17,18,,Skipped due to break ,Skipped due to break,25,26,27,31,,32,34,36,40,45,50,,50,Removed,Removed,,,,,,,
111-3-C,8,13,Cur,0,0,0,2,2,4,,4,4,6,6,7,8,,Skipped due to break ,Skipped due to break,10,11,11,13,,14,14,16,16,20,24,,27,Removed,Removed,,,,,,,
104-3-C,9,24,Cur,2,4,4,6,7,9,,10,11,13,17,19,20,,Skipped due to break ,Skipped due to break,27,27,30,35,,37,38,40,Removed,Removed,Removed ,,Removed,Removed,Removed,,,,,,,
926-3-C,10,12,Cur,2,4,4,4,6,6,,8,9,11,13,15,16,,Skipped due to break ,Skipped due to break,22,24,24,28,,31,34,35,36,39,46,,50,Removed,Removed,,,,,,,
114-3-C,11,24,Cur,,,,,0,0,,0,0,0,0,0,0,,Skipped due to break ,Skipped due to break,Dead,Dead,Dead,Dead,,Dead,Dead,Dead,Dead,Dead,Dead,,Dead,Dead,Dead,,,,,,,
933-3-C,11,30,Cur,2,4,4,5,7,7,,10,10,11,14,16,16,,Skipped due to break ,Skipped due to break,25,25,26,28,,29,31,34,36,41,47,,47,47,Removed,,,,,,,
903-3-C,12,18,Cur,2,4,4,6,7,8,,8,10,11,13,16,17,,Skipped due to break ,Skipped due to break,21,23,27,28,,28,30,31,35,38,44,,46,46,Removed,,,,,,,
115-3-C,13,6,Cur,,,,,8,8,,9,11,13,14,18,18,,Skipped due to break ,Skipped due to break,24,24,27,31,,32,35,36,40,Removed,Removed ,,Removed,Removed,Removed,,,,,,,
107-3-C,13,25,Cur,,,,,,0,,0,0,0,0,0,0,,Skipped due to break ,Skipped due to break,Dead,Dead,Dead,Dead,,Dead,Dead,Dead,Dead,Dead,Dead,,Dead,Dead,Dead,,,,,,,
902-3-C,13,30,Cur,2,4,4,6,7,8,,9,9,12,14,16,18,,Skipped due to break ,Skipped due to break,23,25,29,31,,31,34,36,40,42,50,,51,Removed,Removed,,,,,,,
921-3-C,14,1,Cur,2,4,4,6,6,7,,8,8,9,13,14,16,,Skipped due to break ,Skipped due to break,23,23,26,28,,29,30,34,34,36,42,,43,43,Removed,,,,,,,
105-3-C,14,2,Cur,0,0,0,0,0,0,,0,0,0,0,0,0,,Skipped due to break ,Skipped due to break,Dead,Dead,Dead,Dead,,Dead,Dead,Dead,Dead,Dead,Dead,,Dead,Dead,Dead,,,,,,,
102-3-C,14,9,Cur,,,,,,0,,0,0,0,0,0,0,,Skipped due to break ,Skipped due to break,Dead,Dead,Dead,Dead,,Dead,Dead,Dead,Dead,Dead,Dead,,Dead,Dead,Dead,,,,,,,
112-20-C,15,2,Cur,2,4,5,7,7,9,,10,12,14,17,20,22,,Skipped due to break ,Skipped due to break,29,31,31,35,,38,40,40,41,45,49,,50,Removed,Removed,,,,,,,
910-3-C,15,7,Cur,2,4,5,6,7,8,,9,10,12,15,18,19,,Skipped due to break ,Skipped due to break,26,27,30,32,,33,36,37,39,45,50,,50,50,53,,,,,,,
105-3-F,2,23,Fut,2,4,5,6,7,9,,10,12,14,15,18,20,,Skipped due to break ,Skipped due to break,25,27,30,33,,34,36,37,41,43,50,,Removed,Removed,Removed,,,,,,,
107-3-F,3,25,Fut,0,0,0,0,0,0,,0,0,0,0,0,0,,Skipped due to break ,Skipped due to break,Dead,Dead,Dead,Dead,,Dead,Dead,Dead,Dead,Dead,Dead,,Dead,Dead,Dead,,,,,,,
115-3-F,4,23,Fut,,,,,11,11,,14,17,18,23,25,28,,Skipped due to break ,Skipped due to break,32,36,40,42,,42,44,46,50,54,Removed ,,Removed,Removed,Removed,,,,,,,
937-3-F,4,27,Fut,2,4,6,8,10,13,,15,15,19,23,23,26,,Skipped due to break ,Skipped due to break,32,36,37,41,,41,43,47,48,52,58,,62,Removed,Removed,,,,,,,
112-20-F,4,29,Fut,2,4,8,10,11,15,,17,19,20,26,29,32,,Skipped due to break ,Skipped due to break,36,44,45,46,,50,53,55,56,59,61,,61,Removed,Removed,,,,,,,
947-18-F,5,6,Fut,2,4,6,8,9,11,,13,14,17,19,22,23,,Skipped due to break ,Skipped due to break,31,33,35,38,,41,43,45,48,54,57,,59,59,61,,,,,,,
926-3-F,5,18,Fut,4,6,7,8,10,14,,16,16,19,22,24,25,,Skipped due to break ,Skipped due to break,32,36,37,40,,44,48,48,50,55,56,,57,Removed,Removed,,,,,,,
913-3-F,5,21,Fut,4,5,7,9,10,12,,16,16,18,21,24,28,,Skipped due to break ,Skipped due to break,36,36,38,42,,45,47,51,53,57,60,,66,Removed,Removed,,,,,,,
113-3-F,5,26,Fut,,,,,14,15,,17,18,20,26,27,31,,Skipped due to break ,Skipped due to break,40,41,45,48,,49,53,55,56,Removed,Removed ,,Removed,Removed,Removed,,,,,,,
921-3-F,5,31,Fut,4,6,7,10,12,15,,16,19,20,24,28,31,,Skipped due to break ,Skipped due to break,36,39,41,44,,46,48,51,54,59,Removed ,,Removed,Removed,Removed,,,,,,,
910-3-F,6,11,Fut,4,4,6,8,9,14,,14,16,17,21,23,27,,Skipped due to break ,Skipped due to break,33,34,34,39,Inconsistent under #,42,44,46,47,53,56,,60,60,62,,,,,,,
104-3-F,6,12,Fut,4,6,7,10,12,14,,17,17,20,25,26,30,,Skipped due to break ,Skipped due to break,38,42,42,46,,48,50,Removed,Removed,Removed,Removed,,Removed,Removed,Removed,,,,,,,
943-3-F,6,14,Fut,2,4,6,7,8,11,,11,11,13,16,18,21,,Skipped due to break ,Skipped due to break,26,29,31,33,,35,36,38,42,47,51,,54,Removed,Removed,,,,,,,
933-3-F,7,21,Fut,2,4,6,8,9,11,,13,13,16,21,24,24,,Skipped due to break ,Skipped due to break,30,30,34,36,,39,44,44,46,48,53,,55,58,59,,,,,,,
108-3-F,8,20,Fut,4,4,6,8,10,13,,14,16,20,23,25,26,,Skipped due to break ,Skipped due to break,34,36,38,42,,44,46,48,51,54,Removed ,,Removed,Removed,Removed,,,,,,,
101-3-F,8,27,Fut,4,6,7,9,11,13,,14,16,19,24,28,28,,Skipped due to break ,Skipped due to break,38,39,39,43,,45,47,50,54,Removed,Removed ,,Removed,Removed,Removed,,,,,,,
903-3-F,9,18,Fut,4,4,7,8,10,12,,15,15,18,20,21,23,,Skipped due to break ,Skipped due to break,27,30,32,36,,38,39,42,45,48,55,,57,Removed,Removed,,,,,,,
114-3-F,9,29,Fut,,,,,0,0,,0,0,0,0,0,0,,Skipped due to break ,Skipped due to break,Dead,Dead,Dead,Dead,,Dead,Dead,Dead,Dead,Dead,Dead,,Dead,Dead,Dead,,,,,,,
102-3-F,10,7,Fut,0,2,4,6,7,8,,10,11,11,15,18,18,,Skipped due to break ,Skipped due to break,24,25,27,31,,34,36,39,Removed,Removed,Removed ,,Removed,Removed,Removed,,,,,,,
902-3-F,10,16,Fut,4,6,7,9,11,13,,16,17,18,23,26,28,,Skipped due to break ,Skipped due to break,36,38,39,42,,44,45,49,50,54,58,,58,Removed,Removed,,,,,,,
103-3-F,12,7,Fut,4,5,7,9,10,13,,17,18,20,26,27,29,,Skipped due to break ,Skipped due to break,34,38,40,45,,45,47,50,Removed,Removed,Removed ,,Removed,Removed,Removed,,,,,,,
111-3-F,13,7,Fut,,,,,7,8,,9,10,11,14,17,18,,Skipped due to break ,Skipped due to break,21,26,28,30,,34,35,38,41,44,48,,Removed,Removed,Removed,,,,,,,
905-3-F,14,15,Fut,4,5,6,8,10,13,,14,15,16,21,24,24,,Skipped due to break ,Skipped due to break,31,33,35,39,,40,41,45,49,53,56,,60,Removed,Removed,,,,,,,
942-3-F,15,31,Fut,4,5,7,9,13,13,,15,16,18,22,22,22,,Skipped due to break ,Skipped due to break,29,31,33,37,,37,39,41,42,43,45,,49,52,53,,,,,,,
